video_id,item_id,release_date,status,channel_id,channel_name,subscribers,views,likes,comments,duration,live_status
mS8yEWE_MmY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45MkQ0ODBDNzk1RTE4MjFG,2023-01-10 16:00:09+00:00,public,UCBIfsPaQviN1LpnkWQvAGMQ,1001Tracklists,115000,1181,69,2,4905.0,none
cVxfA__Lzok,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DM0I4OUE4MzY0NzUyMkY5,2023-01-10 17:05:24+00:00,public,UCC1qRH2kSGu7AzBwqEPVnjg,Anjunabeats,311000,5345,249,15,3600.0,none
Iz7uFFgZxU4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DMTQyM0QzRENFODRCNzM0,2023-01-10 22:02:42+00:00,public,UC4N1snt2b0d83vOkvaWP6mg,Vintage Culture,1050000,142772,5429,578,21688.0,none
UT2dW5Txovo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wNzc1MjcyNjczMTQ2OTI4,2023-01-11 08:00:11+00:00,public,UC8eXqFK48M3bBSmMO1FRgIA,drumcodeofficial,355000,6727,265,23,3650.0,none
A4m7wL9PZrc,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS42NTNDRDFCQzAzNUVDNzlE,2023-01-11 15:00:15+00:00,public,UCXvSeBDvzmPO05k-0RyB34w,Future House Music,1150000,4970,214,23,3544.0,none
B4Ig-8afkS8,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xRDIzMDAwMEQ1MEU3MjQy,2023-01-11 23:08:54+00:00,public,UCNVeD_tHABqF-fvbe20ZsPA,Aly & Fila,144000,9332,424,29,7132.0,none
C9AC2dyVUj4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43OTM1MjZEOThFQjBBNTg4,2023-01-12 16:00:08+00:00,public,UCiiN5Ld9pGMwcYrLUJfYlCQ,Mixmash Records,137000,219,20,1,3598.0,none
-tCbM9hs1Eo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4yMTBGNUExNzQyNkQzQUQx,2023-01-12 16:33:36+00:00,public,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,29900000,18150,581,23,3415.0,none
FvHsR0SRTOs,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45Rjk5OUVEMDNDNzZDRDE0,2023-01-12 17:16:43+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,541000,16221,608,63,4130.0,none
BMHZUWvfY1Y,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5CMTIzODZDRUQxN0M3OEZB,2023-01-12 18:00:04+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,541000,18362,694,71,3537.0,none
Ipwof_fycTQ,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS41Q0ZDMkJGNkYzN0JFRjcz,2023-01-12 18:00:06+00:00,public,UCC1qRH2kSGu7AzBwqEPVnjg,Anjunabeats,311000,26920,1351,180,3642.0,none
tuZDRkkhXyU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5EQjJGNzdFNTRBM0RBRDgy,2023-01-12 21:00:31+00:00,public,UCalCDSmZAYD73tqVZ4l8yJg,A State Of Trance,785000,9154,558,52,3693.0,none
zIIsyde_Uak,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5FRDc1ODBBRUQwRjFBN0I2,2023-01-12 21:03:23+00:00,public,UCLFiirHOF-wa3QRExEa4m8A,Nicky Romero,1530000,939,118,1,3500.0,none
NLYJ-i_wo8A,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5FMjEyNkNCMUVCMzJENTJC,2023-01-12 21:05:45+00:00,public,UCu5jfQcpRLm9xhmlSd5S8xw,Armin van Buuren,5430000,150666,4977,277,6730.0,none
Wqa5dhZmmJc,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45REQ3QUNCMTVFMTA3RkFE,2023-01-12 23:00:07+00:00,public,UCBIfsPaQviN1LpnkWQvAGMQ,1001Tracklists,115000,7585,485,91,7053.0,none
vYDPzSzsq54,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5EMDk0RkM0MjRDODBDNUE3,2023-01-13 09:00:49+00:00,public,UCO0sfpPwj3PGVVH_jiqBA6A,Future House Cloud,265000,55055,378,17,4256.0,none
qvLmez53n3k,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5CQ0IxNzZGRDM3NzA2ODUw,2023-01-13 11:00:08+00:00,public,UChAhCmcGr2sDO27t_t6ndbA,SICK INDIVIDUALS,87600,3074,232,31,2193.0,none
